Ref,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,5,5,Check L1,Check L2,Check L3,Check L4,Check L5,X Check
UVV,DDE,EEF,EGI,,,,CCD,HIJ,,,,,,,,,,,,,,3,2,0,0,0,OK
UVW,ABC,RST,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,OK
VWW,EGI,FFG,GHH,WXX,,,,,,,,,,,,,,,,,,4,0,0,0,0,OK
VWX,DDE,YZA,,,,,MNO,,,,,,,,,,,,,,,2,1,0,0,0,OK
WXX,VWW,XYY,HII,,,,EGI,QRS,IKM,YZZ,,,,,,,,,,,,3,4,0,0,0,OK
WXY,ZAB,TUV,,,,,,,,,,,IJK,KLM,,,,,,,,2,0,2,0,0,OK
XYY,GIK,FHJ,WXX,,,,TUV,,,,,,,,,,,,,,,3,1,0,0,0,OK
XYZ,DEF,AAB,QRR,,,,,,,,,,,,,,,,,,,3,0,0,0,0,OK
YZA,VWX,BCD,,,,,,,,,,,KLM,,,,,,,,,2,0,1,0,0,OK
YZZ,GIK,LMM,KLL,JKK,,,NOP,IKM,WXX,,,,LMN,,,,,,,,,4,3,1,0,0,OK
ZAA,ACE,GIK,LMM,,,,,,,,,,,,,,,,,,,3,0,0,0,0,OK
ZAB,LMM,WXY,,,,,JKK,,,,,,,,,,,,,,,2,1,0,0,0,OK
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,OK
