Skip,Complete?,Story Relevant,Scan Level Needed,Anomaly Level,Location,Planet wanted,Habitable Planet,Asteroids,Nebula,Name,Narrative Seed,Reward,Notes,Comments,Zabanian,Sedranian,Wombles,Fongari,Haxan,Ratfolk
,,,1,2,MNN,,,,,Abandoned Ship,,,,,,,,,,"The sensor rat shouts “Bingo! We finally found something in this useless wilderness.” She points to a splodge on the screen and enhances the magnification as far as she can. “I think it’s the remains of an old ship. Bound to be some loot there.” (Level 2 anomaly - needs two turns)

The urge to shout at the sensor rat suddenly dissipates. Maybe there might be value in better sensors after all…"
,,,,,MNO,,Temperate,,,colourful sapient parrots,engineers - artistic - demcratic - lots of squawking debates,,,,"There appears to be a fairly primitive, yet potentially sapient, species on the temperate world in this system. They haven’t reached spaceflight, and don’t seem to be even close to that just yet.  There appear to be elaborate structures at the tops of trees across significant proportions of the planet, indicating that they spend most of their lives in the trees rather on the ground.
A survey team on the ground might be able to make contact with this species, but no advanced communication methods have been detected to make contact from orbit.
Though technologically inferior, one or two of the geneticists are concerned at attempting to capture these creatures as they appear to live at the top of trees and fly frequently.  One of the security guild thinks that this shouldn’t be much of an issue, though this is a matter of great debate.",,,,,
,,,,,MNO,,,,,Zabanian Remnant System,Outpost,,,,,,,,,
ss,,,0,,NOO,,,,,,Space Sharks,,,,,,,,,Missed
,,,3,70,NOP,,,,,"""Rendevous with Rama""",Giant Cylinder moving through space slowly.  Built by humans.,,,,,,,Missed,,
y,,,,,OPP,,Temperate,Yes,,Ratfolk homeworld,"Sanara - Temperate.  Minerals 10.          
The Skylands - Inhospitable Minerals ?
From orbit, the small planet of Sanara looks like a cloudy ocean world with two distinct sandstone coloured poles, wrapped round with a dramatic ring interspersed with chunky moons.

Sanara
 It is close to the sun and has a high orbit speed giving short days and nights. Around the equator, massive spiral steam cloud-banks constantly shift and warp, like gigantic serpents circling the world, but they calm down and become smaller and gentler as the clouds reach the poles. Deep beneath the waves can be seen red glowing dots where the molten core of the world is exposed. 

The only visible landmasses are at the two poles of the planet, where the conditions are cooler and more comfortable for life. Each pole resembles a huge sandy coloured rock of land that are orbited by lots of smaller islands. There is little vegetation on the surface, but on each of the landmasses are thousands and thousands of small holes. If you were to zoom right in as far as you could, you'd be able to see that these holes are artificial, though not very neatly organised. Some are crude, but many are ornate openings that lead to cool underground cities and caves. At night, the holes would be lit up by a soft blue glow from the luminous fungi that grows underground.

Only one significant settlement appears to be visible from orbit on the northern landmass. It is a recent construction, but still looks like little more than strategically stacked junk and rocks. The specially flattened surfaces in the settlement appear to be the only viable places to land safely.

Outpost - Ratfolk

The Skylands - Arctic Minerals 10
The Skylands are settlements scattered among the rocks of Sanara's ring.  Small ships can be seen dodging in and out between the flying rocks that make this a dangerous region to live in.",,"Ships with <2 sublight engines CAN visit the Skylands, they just have a risk of collision. (GM rolls dice)",,,,,,,
,,,2,,OPQ,,,,,Desert World - Edranna,"Inhabited by pre-ftl culture. Level of development is around 18th century.  GM notes - this is the native planet of the Sedranians. There is a deposit of adianite here that the Zabanian Empire wanted and they removed most of the native population to enable themselves to mine it. The natives got 'restless' when the Zabanians started mining their world.  PR back home prevented them from wiping the people out, but they shipped all trouble makers to Scipio (RSS) where deprived of community and in a hostile climate, they made easy cheap labour.",,,,,,,,,Miss
,,,2,6,OPQ,,Desert,Yes,,Inert Zabanian Empire Shipwreck,"It has taken some time to pin down, but there's definitely a ship out there.  It doesn't appear to have any power signature at all, which made it challenging to locate.  The large mass was clearly a trade ship of some kind and has been substantially damaged as it is riddled with holes.  There doesn't appear to be much of the ship left, but maybe there's something of use left?",Gain 5 science points for ship construction,"Potentially have quite a few around, with larger ships towards the old homeworld and smaller ships further out.",,,,,,,Miss
y,,,,,OPQ,,Desert,Yes,,Male spider - Nicholas,Asteroid mine Arachni. A gigantic spider appears to be working among an asteroid belt in this system.,,,,,,,,,
y,,,,,PQQ,,,Yes,,Male spider Kallias,"Asteroid mine Arachni.
",,,,,,,,,
,,,2,8,PQR,Y,Arctic,Yes,,Abandoned Outpost,"It would appear that some ancient civilisation once claimed this system, as an abandoned outpost is near one of the worlds in this system.  It might contain something useful?",Gain 5 Xenology Science Points,Several,GENETIC STUDY: ZABANIAN COMPLETED - ABILITY TO COLONISE ARCTIC WORLDS WITHOUT HABITAT DOMES,"where they find what appears to be an ancient outpost which at some time signified ownership over the system. The initial scans are inconclusive, but upon closer examination the airlock controls seem familiar. Upon entry, what language remains after all this time is clearly Zabanian, or extremely close. This has to be one of the Zabanian Empire’s outposts! Who knows what valuable information may have remained?",,,,,
,,,,,PQR,,,,,Zabanian Remnant System,"Outpost in system, and planetary mining facility in place",,,,,,,,,
,,,2,50,QRR,,,Yes,,Sentient Gas Giant,"Star is due to supernova, it knows it has problems","Knows a lot, but very slow and difficult to communicate with",,needs 12 points of sublight engine to raise gate segment.,,,,,,
ss,,,0,,QRS,,,Yes,,,Space Sharks,,,,,,,Missed,,
,,,3,,RSS,,Temperate,Yes,,Gate segment,"Curently in the ocean, there is a strange object. Science espionage project might get more data.",needs 6 points of sublight engines to lift to orbit.,,,,,,,,
,,,,,RSS,,Temperate,Yes,,Sedrana homeworld,"Sedrana Artic Minerals 10

Homeworld of the Sedrana Ascendency

Scilitan Temperate Minerals 10
Settled by the Sedranan Ascendency",,,,,,,,,
y,,,,,RST,,,,Yes,,,,,,,,,,,
,,,2,15,STT,Y,Arctic,Yes,,Inert Zabanian Empire Outpost,"Tentative indications have been found of ruins of an ancient civilisation.  Speculation is running rampant as to who they might be, and what happened to them.  Orbital scans are only so good though, a proper archaeological dig is called for!",,"Requires ground examination, two spawns",What does 'Misogi techology unlock' actually mean?  A skill in robot engineering? Something else?,,Missed,Missed,,,
y,,,,,STT,,,,,Sedranian System,"Outpost, modern Sedrana colony",,,,,,,,,
y,,,,,STU,,,,,,,,,,,,,,,
,,,,,TUU,,Temperate,,,,,,,,,,,,,
,,,4,25,TUV,,Molten?,Yes,,Debris Cloud (Major),"Asteroid Mine, Arachni.  

A tremendous quantity of debris has collected at one of the planetary Lagrange points.  Whether a large battle took place nearby in the past or if this is a freak occurrence it isn't possible to tell from here.  It may be worth trawling through the larger pieces of debris as there may be something worth recovering.  It might take a while though.",Gain 20 Science Points (Unspecified),Salvage Equipment Required, Multiple?,Only L3/L4 Lagrange points are long term stable,,,,Missed,
,,,2,9,UVV,Y,Temperate,,,Mineral Deposit,An unusual metal signature has been detected on a planet in this system.  It may be worth exploring to see if it is worth establishing a mining operation.,,Requires ground examination,,,,"The science officer stares into his screen, trying to do his best with the limited resources at his disposal.  After spending a year investigating the system, he concludes there’s nothing to see. Then his assistant leans over his shoulder, wipes a fingerprint off the screen and points out a temperate planet with good mineral deposits!",,,
,,,4,25,UVW,,,Yes,Yes,"Debris Cloud (Orion, Major)",A tremendous quantity of debris has collected at one of the planetary Lagrange points.  Whether a large battle took place nearby in the past or if this is a freak occurrence it isn't possible to tell from here.  It may be worth trawling through the larger pieces of debris as there may be something worth recovering.  It might take a while though.,,Salvage Equipment Required, Multiple?  EGI target for them,,,,,,
,,,1,4,VWW,Y,Temperate,Yes,,Unstable Ungaree Shipwreck,"A power signature fluctuates wildly in the depths of space.  Located between the orbits of two planets, it is inexplicably in the middle of nowhere.  The signature is oscillating in a pattern which seems oddly familiar to the engineering crew, and they recommend moving quickly to investigate, but with caution.",Gain 5 science points for cargo space,Detonates three turns after discovery,Why cargo space?,,,"A power signature fluctuates wildly in the depths of space.  Located between the orbits of two planets, it is inexplicably in the middle of nowhere.  The signature is oscillating in a pattern which seems oddly familiar to the engineering crew, and they recommend moving quickly to investigate, but with caution.","A power signature fluctuates wildly in the depths of space.  Located between the orbits of two planets, it is inexplicably in the middle of nowhere.  The signature is oscillating in a pattern which seems oddly familiar to the engineering crew, and they recommend moving quickly to investigate, but with caution.",,
,,,1,2,VWX,asteroid belt,,Yes,,Space Maggots,There are a collection of creatures infesting an asteroid field in the system.  They are about half the size of a L1 ship and appear to be eating the rocks which are closest to them.  They do not seem to care that they are being scanned and would not seem to be hostile in any way.,"2 Adianite initially, one per turn (requires cargo)",,Harvested for what?  MIneral recovery? Food?,There are a collection of creatures infesting an asteroid field in the system.  They are about half the size of a L1 ship and appear to be eating the rocks which are closest to them.  They do not seem to care that they are being scanned and would not seem to be hostile in any way.,,"There are a collection of creatures infesting an asteroid field in the system. They are about half the size of a L1 ship and appear to be eating the rocks which are closest to them. They do not seem to care that they are being scanned and would not seem to be hostile in any way.
COMPLETE: The Space Maggots are thoroughly productive creatures, but they might be a touch boring (pun intended!).  They spend all their lives, or at least as long as they have been observed, consuming small parts of an asteroid.  Whilst initially fascinating as a new form of life, the maggots unfortunately don’t seem able to absorb complex forms of political thought, or indeed any thought at all.
In the interest of being thorough in their examination, a decision is agreed upon to examine one of the bodies of the maggots, to see if a dissection may reveal any further secrets.  This proves to be an excellent decision, another victory for collective decision making, when the digestive system of the maggot reveals a viable quantity of adianite. It seems that the maggot is unable to process this mineral, and so it has built up over time.  Perhaps it is in fact what killed it?  A quick scan of the nearby asteroid confirms that traces of adianite are present throughout, but it would take a very long time to manually acquire anything useful.",,,
y,,,4,35,WXX,,Temperate,Yes,,Ungaree Homeworld,"Studing your sensors, you see a temperate world that has clearly had a troubled past. Even after the passage of unknown years, there are still clear signs of what must once have been great cities.  Although there are many  native species here, they are primarily in the oceans.   Whales, fish and other sea creatures abound.  Land-based life is mostly confined to smaller forms, but perhaps there are larger creatures concealed in the vast forests.","Ambush by 5x L2 armies; Gate piece

needs 6 points of sublight engines to lift to orbit.",Could be ,,,,,"There is a temperate world here, but it’s been badly damaged and has no obvious sentient life. (see survey report lower down) It’s not currently habitable, though it could have been once.  It’s possible that with sufficient effort, the ecosystem could be restored and the planet made habitable again.",Missed,
,,,,,WXX,,Temperate,Yes,,Ancient Deep Space Sensor,"Your navigator points out a Deep Space Sensor, but it's no longer functional. A closer investigation suggests that it is of great age as it appears to to have suffered from severe metal fatigue. You are just able to make out a time-worn plaque on it saying: ""Installed by Kallipolis in compliance with the PeaceTreaty between the Zabanian Empire, the Ungaree and the Orion Network"".",,,,,,,,Yes,
y,,,,,WXX,,,,,Haxan Outpost,,,,,,,,,,
,,,,,WXY,,Temperate,Yes,,,"Asteroid Mine, Arachni. Currently occupied by a giant spider.",,,,,,,,,
,,,,,WXZ,,,,,,,,,,,,,,,
,,,4,80,XYY,Y,Temperate,Yes,,[Robot Stronghold],"A very weak signal is emanating from the asteroid field in system.  It seems to be partially shielded from sensors, some sort of leakage?  Though it is localised to the belt, narrowing it down further is likely to take some time.  Perhaps someone is hiding out there?  But if they are, maybe they don't want to be found?","If military ship present, pirate attack.  Can ignore civilian only ship (survey ship) unless a particularly valuable target or the survey ship has obviously located them.",,,,,,Miss,,Miss
y,,,,,XYZ,,,Yes,,Male Spider,"Asteroid mine Arachni.
",,Several,,,,,,,
,,,,,YZA,,Arctic,Yes,Yes,Mammoths,A military dictatorship of mammoths (nothing to do with Arachni),,,,,,,,,
,,,2,15,YZZ,,Desolate,Yes,,Cryosleep,"The desolate planet in this system is clearly suboptimal for organic life, but remains within necessary parameters for acquisition as a new node. Sensors do detect a weak source of power from a point underground. Analysis indicates that this source of power registers as weak due to substantial shielding, and is therefore intentional.

Examination of the surface of the planet reveals previous settlement by organic life. High probability that the artificial power source was intended for a purpose which extended beyond the functional lifespan of the species. This reduces the number of possibilities, but all include a well engineered power source which requires little maintenance.

The people who settled here briefly were Sedranians who fled from OPQ when the Zabanians took over. They stole a troop transport and fled and eventually landed here (crashing). But this world was desolate and they had no colonisation gear.  They gave up, headed into the deepest warmest caves they could find and took the cryo units from the troop ship with them.",,,,,,,,"The desolate planet in this system is clearly suboptimal for organic life, but remains within necessary parameters for acquisition as a new node. Sensors do detect a weak source of power from a point underground. Analysis indicates that this source of power registers as weak due to substantial shielding, and is therefore intentional.

Examination of the surface of the planet reveals previous settlement by organic life. High probability that the artificial power source was intended for a purpose which extended beyond the functional lifespan of the species. This reduces the number of possibilities, but all include a well engineered power source which requires little maintenance.

Anomaly level 15 - extensive examination of underground chambers is required (no further requirements beyond a ship with sensors is needed though).  Be advised that if the planet is used for a node, this anomaly will be destroyed.",
,,,3,40,ZAA,,,Yes,,Energy Bees,,Resource to be harvested,Gas Giants needed,,,,,,,Missed
,Kallipolis,,2,8,ZAB,,,,,Gelatinous cube,"There are certainly no habitable planets in this system, but it is equally certain that a form of life exists upon one of the rocky worlds in system.  The toxic atmosphere precludes it from breathing anything similar to ourselves.  The natural appearance for one of these lifeforms appears to be a roughly cuboid shape, translucent, and quite flexible.  That said, they appear to enjoy taking different shapes, and primitive buildings and even plantlife seems to be created by these objects as they combine where necessary to form larger objects. Quite what they are doing here is anyone’s guess, and there’s a firm debate about whether they are in fact alive.","4 Xenology SP, genetic information for Zabania",,,,,,,,
,,,4,,,,,,,Gate segment,Can't really investigate until you can work out how to get close to it...,,,Is this meant to be in QRR?,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,"Note: ABC/RST/UVW remote location, nebula",,,,,,,,,,,,,,,,,,
,,,,,,,,,,pre-ftl monarchy,,,,,,,,,,
,,,,,,,,,,,,,can't be solved by more sensors,,,,,,,
,,,,,,,,,,old man with two AI dogs,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,something needing ingenuity,,,,,,,,,,
,,,,,,,,,,"~4 other civilisations, pre FTL",,,,,,,,,,
